driver1	19/01/2017 08:33	19/01/2017 10:34	121.000000	Sug-Driving	1.000000	5.000000	ndd	first	uninterrupted	A	yes	malaga sevilla
driver1	19/01/2017 10:34	19/01/2017 10:37	3.000000	Sug-Unload	1.000000	5.000000	ndd	first	uninterrupted	A	yes	box12
driver1	19/01/2017 10:37	19/01/2017 10:40	3.000000	Sug-Unload	1.000000	5.000000	ndd	first	uninterrupted	A	yes	box11
driver1	19/01/2017 10:40	19/01/2017 10:43	3.000000	Sug-Unload	1.000000	5.000000	ndd	first	uninterrupted	A	yes	box10
driver1	19/01/2017 10:43	19/01/2017 11:40	57.000000	Sug-Driving	1.000000	5.000000	ndd	first	uninterrupted	A	yes	sevilla huelva
driver1	19/01/2017 11:40	19/01/2017 11:43	3.000000	Sug-Unload	1.000000	5.000000	ndd	first	uninterrupted	A	yes	box25
driver1	19/01/2017 11:43	19/01/2017 11:46	3.000000	Sug-Load	1.000000	5.000000	ndd	first	uninterrupted	A	yes	box1
driver1	19/01/2017 11:46	19/01/2017 11:49	3.000000	Sug-Load	1.000000	5.000000	ndd	first	uninterrupted	A	yes	box2
driver1	19/01/2017 11:49	19/01/2017 11:52	3.000000	Sug-Load	1.000000	5.000000	ndd	first	uninterrupted	A	yes	box3
driver1	19/01/2017 11:52	19/01/2017 13:24	92.000000	Sug-Driving	1.000000	5.000000	ndd	first	uninterrupted	A	yes	huelva cadiz
driver1	19/01/2017 13:24	19/01/2017 14:09	45.000000	Sug-Break	1.000000	5.000000	ndd	first	uninterrupted	B_T1	yes
driver1	19/01/2017 14:09	19/01/2017 14:45	36.000000	Sug-Driving	1.000000	5.000000	ndd	second	uninterrupted	A	yes	huelva cadiz
driver1	19/01/2017 14:45	19/01/2017 14:48	3.000000	Sug-Unload	1.000000	5.000000	ndd	second	uninterrupted	A	yes	box22
driver1	19/01/2017 14:48	19/01/2017 16:02	74.000000	Sug-Driving	1.000000	5.000000	ndd	second	uninterrupted	A	yes	cadiz gibraltar
driver1	19/01/2017 16:02	19/01/2017 16:05	3.000000	Sug-Unload	1.000000	5.000000	ndd	second	uninterrupted	A	yes	box23
driver1	19/01/2017 16:05	19/01/2017 18:38	153.000000	Sug-Driving	1.000000	5.000000	ndd	second	uninterrupted	A	yes	gibraltar granada
driver1	19/01/2017 18:38	19/01/2017 18:41	3.000000	Sug-Load	1.000000	5.000000	ndd	second	uninterrupted	A	yes	box16
driver1	19/01/2017 18:41	19/01/2017 18:44	3.000000	Sug-Load	1.000000	5.000000	ndd	second	uninterrupted	A	yes	box17
driver1	19/01/2017 18:44	19/01/2017 18:47	3.000000	Sug-Load	1.000000	5.000000	ndd	second	uninterrupted	A	yes	box18
